CountryName,CountryCode,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,ConfirmedCases,ConfirmedDeaths,HealthIndexChange,ContainmentHealthIndex,Cases after 1 week,Cases after 2 weeks,Cases after 3 weeks,Cases after 4 weeks
Italy,ITA,20200409,3.00,3.00,2.00,4.00,1.00,3.00,2.00,3.00,2.00,2.00,2.00,139422,17669,0,90.15,,,,
Italy,ITA,20200410,3.00,3.00,2.00,4.00,1.00,2.00,2.00,3.00,2.00,2.00,2.00,143626,18281,1,87.12,1,1,1,-1
Italy,ITA,20200411,3.00,3.00,2.00,4.00,1.00,2.00,2.00,3.00,2.00,2.00,2.00,147577,18851,0,87.12,,,,
Italy,ITA,20200412,3.00,3.00,2.00,4.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,152271,19470,1,91.67,1,1,-1,-1
Italy,ITA,20200413,3.00,3.00,2.00,4.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,156363,19901,0,91.67,,,,
Italy,ITA,20200414,3.00,3.00,2.00,4.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,159516,20465,0,91.67,,,,
Italy,ITA,20200415,3.00,3.00,2.00,4.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,162488,21069,0,91.67,,,,
Italy,ITA,20200416,3.00,3.00,2.00,4.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,165155,21647,0,91.67,,,,
Italy,ITA,20200417,3.00,3.00,2.00,4.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,168941,22172,0,91.67,,,,
Italy,ITA,20200418,3.00,3.00,2.00,4.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,172434,22747,0,91.67,,,,
Italy,ITA,20200419,3.00,3.00,2.00,4.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,175925,23227,0,91.67,,,,
Italy,ITA,20200420,3.00,3.00,2.00,4.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,178972,23660,0,91.67,,,,
Italy,ITA,20200421,3.00,3.00,2.00,4.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,181228,24114,0,91.67,,,,
Italy,ITA,20200422,3.00,3.00,2.00,4.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,183957,24648,0,91.67,,,,
Italy,ITA,20200423,3.00,3.00,2.00,4.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,187327,25085,0,91.67,,,,
Italy,ITA,20200424,3.00,3.00,2.00,4.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,189973,25549,0,91.67,,,,
Italy,ITA,20200425,3.00,3.00,2.00,4.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,192994,25969,0,91.67,,,,
Italy,ITA,20200426,3.00,3.00,2.00,4.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,195351,26384,0,91.67,,,,
Italy,ITA,20200427,3.00,3.00,2.00,4.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,197675,26644,0,91.67,,,,
Italy,ITA,20200428,3.00,3.00,2.00,4.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,199414,26977,0,91.67,,,,
Italy,ITA,20200429,3.00,3.00,2.00,4.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,201505,27359,0,91.67,,,,
Italy,ITA,20200430,3.00,3.00,2.00,4.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,203591,27682,0,91.67,,,,
Italy,ITA,20200501,3.00,3.00,2.00,4.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,205463,27967,0,91.67,,,,
Italy,ITA,20200502,3.00,3.00,2.00,4.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,207428,28236,0,91.67,,,,
Italy,ITA,20200503,3.00,3.00,2.00,4.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,209328,28710,0,91.67,,,,
Italy,ITA,20200504,3.00,1.00,2.00,4.00,0.00,1.00,1.00,2.00,2.00,2.00,2.00,210717,28884,1,66.67,-1,-1,-1,-1
Italy,ITA,20200505,3.00,1.00,2.00,4.00,0.00,1.00,1.00,2.00,2.00,2.00,2.00,211938,29079,0,66.67,,,,
Italy,ITA,20200506,3.00,1.00,2.00,4.00,0.00,1.00,1.00,2.00,2.00,2.00,2.00,213013,29315,0,66.67,,,,
Italy,ITA,20200507,3.00,1.00,2.00,4.00,0.00,1.00,1.00,2.00,2.00,2.00,2.00,214457,29684,0,66.67,,,,
Italy,ITA,20200508,3.00,1.00,2.00,4.00,0.00,1.00,1.00,2.00,2.00,2.00,2.00,215858,29958,0,66.67,,,,
Italy,ITA,20200509,3.00,1.00,2.00,4.00,0.00,1.00,1.00,2.00,2.00,2.00,2.00,217185,30201,0,66.67,,,,
Italy,ITA,20200510,3.00,1.00,2.00,4.00,0.00,1.00,1.00,2.00,2.00,2.00,2.00,218268,30395,0,66.67,,,,
Italy,ITA,20200511,3.00,1.00,2.00,4.00,0.00,1.00,1.00,2.00,2.00,2.00,2.00,219070,30560,0,66.67,,,,
Italy,ITA,20200512,3.00,1.00,2.00,4.00,0.00,1.00,1.00,2.00,2.00,2.00,2.00,219814,30739,0,66.67,,,,
Italy,ITA,20200513,3.00,1.00,2.00,4.00,0.00,1.00,1.00,2.00,2.00,2.00,2.00,221216,30911,0,66.67,,,,
Italy,ITA,20200514,3.00,1.00,2.00,4.00,0.00,1.00,1.00,2.00,2.00,2.00,2.00,222104,31106,0,66.67,,,,
Italy,ITA,20200515,3.00,1.00,2.00,4.00,0.00,1.00,1.00,2.00,2.00,2.00,2.00,223096,31368,0,66.67,,,,
Italy,ITA,20200516,3.00,2.00,2.00,4.00,0.00,1.00,1.00,2.00,2.00,2.00,2.00,223885,31610,1,69.70,-1,-1,-1,-1
Italy,ITA,20200517,3.00,2.00,2.00,4.00,0.00,1.00,1.00,2.00,2.00,2.00,2.00,224760,31763,0,69.70,,,,
Italy,ITA,20200518,3.00,2.00,2.00,0.00,0.00,1.00,2.00,3.00,2.00,2.00,2.00,225435,31908,1,67.42,-1,-1,-1,-1
Italy,ITA,20200519,3.00,2.00,2.00,0.00,0.00,1.00,2.00,3.00,2.00,2.00,2.00,225886,32007,0,67.42,,,,
Italy,ITA,20200520,3.00,2.00,2.00,0.00,0.00,1.00,2.00,3.00,2.00,2.00,2.00,226699,32169,0,67.42,,,,
Italy,ITA,20200521,3.00,2.00,2.00,0.00,0.00,1.00,2.00,3.00,2.00,2.00,2.00,227364,32330,0,67.42,,,,
Italy,ITA,20200522,3.00,2.00,2.00,0.00,0.00,1.00,2.00,3.00,2.00,2.00,2.00,228006,32486,0,67.42,,,,
Italy,ITA,20200523,3.00,2.00,2.00,0.00,0.00,1.00,2.00,3.00,2.00,2.00,2.00,228658,32616,0,67.42,,,,
